date,aluminum,ammonium ion,arsenic,barium,bromine,cadmium,calcium,chlorine,chromium,copper,elemental carbon,iron,lead,magnesium,manganese,nickel,organic carbon,potassium ion,selenium,silicon,sodium,sulfur,titanium,total nitrate,vanadium,zinc
2011-01-15,-4.645849831686547e-7,-1.5284317637835876e-6,-0.32540124179127866,-1.5136482044119728e-6,-7.340494117823293e-7,-8.147485562115968e-7,-4.781654698645717e-7,-1.4050318554549462e-7,9.001476644982542e-8,5.2056723772530744e-8,-9.78442389337261e-7,-3.866210654218617e-7,-1.9733106532373584e-7,-7.291099278520535e-7,-3.9778261336466506e-7,-8.197202354971219e-7,-9.926639802039507e-7,1.6365495765972677e-7,-1.1769739101438776e-6,-4.074394547700457e-7,-9.084230874504397e-7,-1.4983520228800166e-6,3.634361214698171e-7,-1.2517515672875721e-6,-7.196743121853692e-7,-3.22128554400407e-7
2011-01-18,-2.220880132629534e-8,-7.699621990615488e-7,-2.5168503670124163e-7,-1.3917314654845192e-6,-3.5589386387011653e-7,-2.5691924533565072e-6,-2.3234497213343573e-7,-3.2868041032190366e-8,4.0866773530004994e-7,-4.037123888203725e-7,0,1.4507310367455957e-8,-5.274384329440876e-7,8.505669793235483e-9,-9.997384939923846e-8,0.3481371791443818,0,-1.0969537786751252e-6,-3.6352286590693506e-8,4.197474737898967e-8,1.4094951497586823e-7,-3.588393892120443e-7,2.195674061843173e-7,-8.678959031287892e-7,-6.307336242702907e-7,-8.873286536954924e-7
2011-01-19,4.560977593793782e-8,7.769468252007833e-7,3.8396048287183424e-7,3.961972502614903e-7,-1.053261279223364e-6,0.08228462149311519,-1.5239926191838076e-6,7.731019289224702e-7,-1.2713540169865422e-7,1.0150229196402238e-6,-1.5329923647184963e-6,-1.0336710243569942e-6,-9.381368607320811e-7,1.648056819204289e-7,5.251313039846023e-7,-1.480512841588172e-6,-1.595632354705415e-6,-1.2254790018907307e-6,-1.8669526399382509e-06,-9.419442444870692e-8,-7.943658140817146e-7,5.970711114135276e-7,-4.719932258014277e-7,-8.815723003670205e-7,-1.4017917388816454e-7,-2.0507278133346696e-6
2011-01-21,-2.2467318154765454e-7,-8.793264102799882e-7,-4.219711322304195e-7,-8.241410358074628e-7,-5.315183593252023e-7,-1.1740329308578825e-6,-3.7176276053865477e-7,-5.75605832277606e-8,1.644093826403795e-7,-3.502309003087286e-7,-7.033755417684554e-7,-5.391168061743186e-9,-3.0203904231356514e-8,-7.139187944002854e-8,-3.3399006763156007e-7,-5.656784247845092e-7,-6.723025976643833e-7,-1.787027932617032e-7,-1.6008122881619745e-7,-2.528695143398668e-7,-1.5265094072514012e-7,-5.77091026543422e-7,1.663972226561646e-7,-8.851308579600363e-7,-7.915390254244695e-7,-5.202386516158637e-7
2011-01-24,-1.3503183162304221e-7,-4.367987605522828e-7,-8.806583820055036e-7,-6.143709061639096e-7,-3.2570618650368873e-7,-1.085090749381008e-6,-4.1099558056957727e-7,2.423519139483739e-7,3.771883467425263e-7,-5.128136923745494e-7,-1.439690068551886e-6,-3.0256741934745905e-7,-3.816088690457847e-7,-5.018260159409141e-7,-8.700901915812012e-7,-6.356854148676452e-7,-9.403789780935986e-7,-4.7554088910310824e-7,-4.5004053844372463e-7,2.295133878160831e-9,-2.436998325291069e-7,-6.182830172744832e-8,2.7512374619096747e-7,-9.109754409971072e-7,-2.376542348953983e-7,-6.807963525426749e-7
2011-01-27,-1.6803885472546978e-7,-4.688830996695182e-7,-2.6761765188610103e-7,1.5836879260277715e-6,-4.265757449072833e-7,-1.579663758816607e-6,-4.038598372318107e-7,-1.681525333655749e-7,6.150435154746235e-8,-4.08844850658246e-8,-5.266314066897109e-7,-1.5548197023332826e-7,2.404582309607194e-7,1.8222857852226256e-7,-5.75078789904361e-7,-9.610083067247445e-7,-4.051638885566409e-7,1.3024732551570237,-2.3985550254999064e-7,-2.626461072996345e-7,-2.7353205020222405e-7,-1.8655213341946194e-8,-9.18651608913743e-8,-2.9132791529191726e-7,-5.421135686255373e-7,-6.375079141846159e-7
2011-01-30,-5.700282586835635e-7,5.112943209380505e-7,1.4134469147107551,2.173064733379109e-9,3.21326011743312e-7,-2.1212276284309627e-6,-6.746167121648661e-7,1.390576234841837e-7,-2.5128655527805415e-8,-2.2001565041484167e-7,-9.723505408234542e-7,-6.89584183342404e-7,-2.9632271127089885e-7,-8.910001836400744e-8,-4.939084104410639e-7,-3.985537851901549e-7,-3.2600501316338356e-7,-8.693871715944664e-7,1.1888246745710208e-6,-5.113005685152131e-7,-3.838829021779307e-8,0.2916988037863747,-5.52931278883201e-7,-1.819748697520484e-7,1.160577555560357e-7,-6.073370269190845e-7
2011-02-02,1.0149049081336602e-7,-0.19650647829282097,1.356450769176837,1.39111730534827e-6,-5.695857608891532e-7,-1.326055838580711e-9,-5.313590966903297e-7,2.628178785740081e-7,4.849463274082673e-7,4.555282923357393,-1.68648967469097e-6,-1.741017336679419e-8,0.7988307771236147,-5.0625101128476284e-8,-8.759409061272523e-7,-1.2910701168209035e-6,-1.1542288725501352e-6,-3.013365233094046e-8,0.7014762686094556,-1.936747448946765e-7,-9.015314299596099e-7,-5.484661780055496e-7,2.068465880101531e-7,-0.39324887710887124,0.7304288726785308,-8.360399048755274e-7
2011-02-05,1.0027879295456305e-8,-1.055038962280871e-6,1.9606742236179774e-9,2.296969727587615e-7,-3.975238390941822e-7,-2.5580857634724754e-7,-3.962796078008983e-7,2.7652275522381065e-7,-3.3444562628528985e-7,-2.9023471488649137e-7,-9.193641004317844e-7,-2.1857783222296894e-7,-7.325811250107393e-7,-3.700682990406201e-7,-7.260011243691994e-7,-9.868758099987993e-7,-8.305596325895862e-7,1.1473601315568354e-7,-5.886902766612581e-7,-1.7030350501864565e-7,-3.892392095434124e-7,-9.750073764954207e-7,1.718306324228334e-7,-8.708193388211471e-7,-6.920161473684353e-8,-6.862837237459178e-7
2011-02-08,9.986848331192786e-8,-2.9665592931285274e-7,-5.953678474102369e-7,-1.6598385489582689e-9,-1.8107455918222796e-7,-2.1918916130223298e-8,-1.112634847524574e-7,6.864763599710858e-8,8.717936417235555e-8,-2.5148123570747845e-7,-6.358029819804557e-7,-8.058578462394996e-8,-5.171669533524826e-8,-1.1548625728245937e-7,-3.7388447853217217e-7,-3.0656140212209426e-7,-5.701514090985865e-7,-5.142229679080594e-7,-6.286169258409828e-7,-9.200904298168038e-8,-5.664910592724854e-8,-1.442385699127665e-7,-1.3670104740611642e-7,-4.672347404334338e-7,-2.1191081834919748e-7,-7.734782722823024e-8
